Objective,Action,Progress
1.3.1,"Lead in the development of new affordable housing types, as well as construction methods that incorporate innovative solutions to issues of form, function, and maintenance.",
1.3.2,Establish partnerships with housing industry leaders to construct innovative and affordable developments.,
