"","Project Name","Developer","Address","Zip Code","State","Proposed / Completed","Type:  Affordable, Mixed or Market","Total Units","Affordable Units","RDA $","HTF $","Completed Before 2008","Completed After 2008","location","lon","lat"
"86","Jefferson School Phase II Apartments","Housing Authority of Salt Lake City --HAME","1011 South West Temple",84101,"Utah","Completed","Mixed",60,36,NA,695177,NA,NA,"1011 South West Temple, `Salt Lake City`, UT 84101",-111.893084,40.746815
"87","John Florez Manor","Centro Civico","155 South 600 West",84101,"Utah","Proposed","Mixed",61,43,NA,NA,NA,NA,"155 South 600 West, `Salt Lake City`, UT 84101",-111.9076116,40.7658999
"88","Juhlin Apartments","Diamond J","646 East 200 South",84102,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"646 East 200 South, `Salt Lake City`, UT 84102",-111.8729304,40.7645606
"89","Kathleen Huntsman Apartments (The Critchlow)","Ywbuilding Hope QULICB","322 East 300 South",84111,"Utah","Completed","Affordable",36,36,NA,NA,NA,NA,"322 East 300 South, `Salt Lake City`, UT 84111",-111.8817659,40.7624581
"90","Kingswood Apartments","Housing Authority of Salt Lake","1754 West 1300 North",84116,"Utah","Completed","Affordable",72,72,NA,NA,NA,NA,"1754 West 1300 North, `Salt Lake City`, UT 84116",-111.9412301,40.7983782
"91","Lake Street Apartments","VMH","985 South Lake Street",84105,"Utah","Completed","Market",18,NA,NA,NA,NA,NA,"985 South Lake Street, `Salt Lake City`, UT 84105",-111.869312,40.7476258
"92","Lana Marie Apartments","Diamond J","521 South 500 East",84102,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"521 South 500 East, `Salt Lake City`, UT 84102",-111.8763166,40.7577782
"93","Laurelwood Apartments","Utah Nonprofit Housing Corp","1341 South State Street",84115,"Utah","Completed","Affordable",95,95,NA,NA,NA,NA,"1341 South State Street, `Salt Lake City`, UT 84115",-111.8878776,40.7408245
"94","Legacy Village","Woodbury Corporation/ Western states Lodging","1212 Wilmington Avenue",84106,"Utah","Completed","Market",268,0,NA,NA,NA,NA,"1212 Wilmington Avenue, `Salt Lake City`, UT 84106",-111.8566396,40.7229892
"95","Liberty Blvd. Apartments","Cowboy Partners","750 East 400 South",84102,"Utah","Proposed","Mixed",266,54,NA,NA,NA,NA,"750 East 400 South, `Salt Lake City`, UT 84102",-111.8692978,40.7602569
"96","Liberty City Walk","Cowboy Partners Partners","280 East 200 South",84111,"Utah","Completed","Affordable",73,73,NA,NA,NA,NA,"280 East 200 South, `Salt Lake City`, UT 84111",-111.8831626,40.7646061
"97","Liberty Crest","Cowboy Partners","150 South 200 East",84111,"Utah","Proposed","Market",177,NA,NA,NA,NA,NA,"150 South 200 East, `Salt Lake City`, UT 84111",-111.8858755,40.7660785
"98","Liberty Gateway Apartments","Cowboy Partners Partners","50 South 500 West",84101,"Utah","Completed","Market",160,0,NA,NA,NA,NA,"50 South 500 West, `Salt Lake City`, UT 84101",-111.9060546,40.7684584
"99","Liberty Metro","Cowboy Partners","555 South 200 East",84111,"Utah","Completed","Market",100,NA,NA,NA,NA,NA,"555 South 200 East, `Salt Lake City`, UT 84111",-111.8848434,40.7571116
"100","Liberty Midtown","Cowboy Partners","225 South 300 East",84111,"Utah","Completed","Market",71,NA,NA,NA,NA,NA,"225 South 300 East, `Salt Lake City`, UT 84111",-111.8820051,40.7641433
"101","Liberty Village Properties","Cowboy Partners Partners","2150 South McClelland Street",84105,"Utah","Completed","Mixed",171,35,NA,NA,NA,NA,"2150 South McClelland Street, `Salt Lake City`, UT 84105",-111.8617096,40.7243789
"102","Liberty Wells Retirement Community","Utah Nonprofit Housing Corp","280 East 800 South",84111,"Utah","Completed","Affordable",51,51,NA,NA,NA,NA,"280 East 800 South, `Salt Lake City`, UT 84111",-111.883043,40.7519491
"103","Lincoln Arms","LaPorte","242 East 100 South",84111,"Utah","Completed","Affordable",16,16,NA,NA,NA,NA,"242 East 100 South, `Salt Lake City`, UT 84111",-111.8838902,40.7668692
"104","Lincoln Towers","Key Property Management","2017 South Lincoln Street",84105,"Utah","Completed","Market",95,NA,NA,NA,NA,NA,"2017 South Lincoln Street, `Salt Lake City`, UT 84105",-111.8636021,40.7261714
"105","Lolie Eccles Extended Family Shelter (aka Young  Family Shelter)","YWCA","344 East 300 South",84111,"Utah","Completed","Affordable",12,12,NA,NA,NA,NA,"344 East 300 South, `Salt Lake City`, UT 84111",-111.8810092,40.7624176
"106","Lotus Park","Concept Management","750 South 900 East",84102,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"750 South 900 East, `Salt Lake City`, UT 84102",-111.8653488,40.7528829
"107","Lowell Apartments","UNPHC","756 South 200 East",84111,"Utah","Completed","Affordable",80,80,NA,NA,NA,NA,"756 South 200 East, `Salt Lake City`, UT 84111",-111.8860505,40.7527255
"108","Macaroni Flats","Artspace","244 South 500 West",84101,"Utah","Completed","Market",13,NA,NA,NA,NA,NA,"244 South 500 West, `Salt Lake City`, UT 84101",-111.9066501,40.7636583
"109","Marinus Apts","Diamond J","1485 South Roberta Street",84115,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"1485 South Roberta Street, `Salt Lake City`, UT 84115",-111.883578,40.737414
"110","Marmalade Hill Apartments","Apartment Management Consultants, LLC","439 North 200 West",84103,"Utah","Completed","Market",59,NA,NA,3e+05,NA,NA,"439 North 200 West, `Salt Lake City`, UT 84103",-111.8973142,40.7789203
"111","Marmalade Mixed Use","Clearwater Homes","500 North 300 West",84103,"Utah","Proposed","Market",265,NA,NA,NA,NA,NA,"500 North 300 West, `Salt Lake City`, UT 84103",-111.8990792,40.7808875
"112","Maughan  Apartments","Diamond J","24 East 1700 South",84115,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"24 East 1700 South, `Salt Lake City`, UT 84115",-111.890193,40.7331829
"113","Mayfair Apartments","Diamond J","542 South 500 East",84102,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"542 South 500 East, `Salt Lake City`, UT 84102",-111.8772449,40.7573372
"114","Meredith Apartments","EMG","160 East First Avenue",84111,"Utah","Completed","Market",NA,NA,NA,7e+05,NA,NA,"160 East First Avenue, `Salt Lake City`, UT 84111",-111.8846171,40.7702799
"115","Milagro Apts","Peg Development","241 West 200 South",84101,"Utah","Proposed","Market",182,NA,NA,NA,NA,NA,"241 West 200 South, `Salt Lake City`, UT 84101",-111.898252,40.764561
"116","Milestone Apartments  (aka Lorna Doone)","Lorna Doone Associates/ Utah Nonprofit Housing Corp","320  East 100 South",84111,"Utah","Completed","Affordable",36,36,NA,NA,NA,NA,"320  East 100 South, `Salt Lake City`, UT 84111",-111.8815866,40.7667581
"117","Milestone--Lorna Doone--Annie Laurie","Lorna Doone Associates/ Utah Nonprofit Housing Corp","326 East 100 South",84111,"Utah","Completed","Affordable",33,33,NA,NA,NA,NA,"326 East 100 South, `Salt Lake City`, UT 84111",-111.8813138,40.7667604
"118","Milestone--Lorna Doone--Wilshire Arms Apts","Lorna Doone Associates/ Utah Nonprofit Housing Corp","234 First Avenue",84103,"Utah","Completed","Affordable",32,32,NA,NA,NA,NA,"234 First Avenue, `Salt Lake City`, UT 84103",-111.8823362,40.7702321
"119","Milestone--Los Gables (Lorna Doone Project)","Lorna Doone Associates/ Utah Nonprofit Housing Corp","135 South 300 East",84111,"Utah","Completed","Affordable",40,40,NA,NA,NA,NA,"135 South 300 East, `Salt Lake City`, UT 84111",-111.8819688,40.7663137
"120","Multi-Ethnic Senior Citizen Highrise","UNPHC","120 South 200 West",84101,"Utah","Completed","Affordable",141,141,NA,NA,NA,NA,"120 South 200 West, `Salt Lake City`, UT 84101",-111.8978344,40.7664815
"121","New Grand Hotel Apartments","Kier","7 East 400 South",84111,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"7 East 400 South, `Salt Lake City`, UT 84111",-111.8904003,40.7609757
"122","Norris Townhomes","Diamond J","817 East Parkway Avenue",84115,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"817 East Parkway Avenue, `Salt Lake City`, UT 84115",-111.8675238,40.7186835
"123","North 4th Apartments Phase 1","GIV Group","375 North 500 West",84116,"Utah","Proposed","Mixed",110,79,NA,380000,NA,NA,"375 North 500 West, `Salt Lake City`, UT 84116",-111.906111,40.7770565
"124","North 4th West Apartments Phase 2","GIV Group","375 North 500 West",84101,"Utah","Proposed","Mixed",124,80,NA,NA,NA,NA,"375 North 500 West, `Salt Lake City`, UT 84101",-111.906111,40.7770565
"125","North Six","GIV Holdings North Sixth","24 North 600 West",84116,"Utah","Completed","Mixed",115,86,NA,NA,NA,NA,"24 North 600 West, `Salt Lake City`, UT 84116",-111.907699,40.770036
"126","North Temple 300 West","North Temple Enterprises","121 North 300 West",84103,"Utah","Proposed","Market",240,0,NA,NA,NA,NA,"121 North 300 West, `Salt Lake City`, UT 84103",-111.9005485,40.7720645
"127","North Temple 300 West","Cowboy Partners","150 South 200 East",84111,"Utah","Proposed","Market",177,0,NA,NA,NA,NA,"150 South 200 East, `Salt Lake City`, UT 84111",-111.8858755,40.7660785
"128","North Temple Flats","Little Diamond Housing (Peter Caroon)","155 South 600 West",84101,"Utah","Proposed","Mixed",168,98,NA,NA,NA,NA,"155 South 600 West, `Salt Lake City`, UT 84101",-111.9076116,40.7658999
"129","North Temple Flats","NTF Development LLC (Summit Group)","1999 West North Temple",84116,"Utah","Proposed","Mixed",168,97,NA,NA,NA,NA,"1999 West North Temple, `Salt Lake City`, UT 84116",-111.9485168,40.7706167
"130","Northgate at the Gateway","Cowboy Partners","135 South 500 West",84101,"Utah","Completed","Market",330,NA,NA,NA,NA,NA,"135 South 500 West, `Salt Lake City`, UT 84101",-111.9045936,40.7660955
"131","Northwest Historic Pipeline Building & Site","Cowboy Partners/ Form Development","315 East 200 South",84111,"Utah","Proposed","Mixed",248,111,NA,NA,NA,NA,"315 East 200 South, `Salt Lake City`, UT 84111",-111.8818557,40.7652454
"132","Oaks at Trolley","Concept Management","555 East 700 South",84102,"Utah","Completed","Market",NA,NA,NA,1500000,NA,NA,"555 East 700 South, `Salt Lake City`, UT 84102",-111.8748024,40.7544763
"133","Pacific Avenue","Housing Authority of Salt Lake City/HAME","1430 West Pacific Avenue",84104,"Utah","Completed","Market",25,NA,NA,NA,NA,NA,"1430 West Pacific Avenue, `Salt Lake City`, UT 84104",-111.9324534,40.7598585
"134","Pacific Heights","Housing Authority of Salt Lake City/HAME","1420 West 500 South",84104,"Utah","Completed","Market",23,NA,NA,NA,NA,NA,"1420 West 500 South, `Salt Lake City`, UT 84104",-111.9319112,40.7587195
"135","Palladio Apartments","Wasatch Property Management","360 South 200 West",84101,"Utah","Completed","Market",96,NA,NA,NA,NA,NA,"360 South 200 West, `Salt Lake City`, UT 84101",-111.8972179,40.7623458
"136","Palmer Court","The Road Home","999 South Main Street",84111,"Utah","Completed","Affordable",201,201,NA,NA,NA,NA,"999 South Main Street, `Salt Lake City`, UT 84111",-111.889875,40.747829
"137","Paperbox Development","Clearwater Homes/PEG Development","340 West 200 South",84101,"Utah","Completed","Mixed",183,36,NA,NA,NA,NA,"340 West 200 South, `Salt Lake City`, UT 84101",-111.90109,40.765894
"138","Paragon Station","Clearwater Homes","316 West 200 South",84101,"Utah","Completed","Market",38,0,NA,390000,NA,NA,"316 West 200 South, `Salt Lake City`, UT 84101",-111.9002908,40.7652262
"139","Park Capitol","Apartment Management Consultants, LLC","215 North Main",84103,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"215 North Main, `Salt Lake City`, UT 84103",-111.891669,40.775318
"140","Park Place Apartement Project","Cedar Pointe Partners","731 South 300 East",84111,"Utah","Completed","Affordable",224,224,NA,NA,NA,NA,"731 South 300 East, `Salt Lake City`, UT 84111",-111.8819567,40.7532661
"141","Parker Apts  (CW Development--Formerly 12th st Annex)","Diamond J","307 East 600 South",84102,"Utah","Completed","Market",16,NA,NA,NA,NA,NA,"307 East 600 South, `Salt Lake City`, UT 84102",-111.8820155,40.7566013
"142","Pauline Downs Apartments",NA,"120 South 300 East",84111,"Utah","Completed","Affordable",112,112,NA,NA,NA,NA,"120 South 300 East, `Salt Lake City`, UT 84111",-111.8829737,40.7665605
"143","Paxton 365","JW Robinson Architects","365 West Paxton Avenue",84101,"Utah","Proposed","Market",121,NA,NA,NA,NA,NA,"365 West Paxton Avenue, `Salt Lake City`, UT 84101",-111.901369,40.743199
"144","Peter Pan Apartments","LaPorte","445 East 300 South",84111,"Utah","Completed","Affordable",32,32,NA,3e+05,NA,NA,"445 East 300 South, `Salt Lake City`, UT 84111",-111.8781486,40.763205
"145","Phillips Plaza","Housing Authority of Salt Lake City","660 South 300 East",84111,"Utah","Completed","Affordable",170,170,NA,NA,NA,NA,"660 South 300 East, `Salt Lake City`, UT 84111",-111.8831363,40.7549491
"146","Piccadilly","Diamond J","24 South  500 East",84102,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"24 South  500 East, `Salt Lake City`, UT 84102",-111.8773299,40.76863
"147","Piccady Apartments","LaPorte","115 South 300 East",84111,"Utah","Completed","Affordable",40,40,NA,NA,NA,NA,"115 South 300 East, `Salt Lake City`, UT 84111",-111.88199,40.766656
"148","Pierpont Apartments","Gardiner Properties","270 South 300 West",84101,"Utah","Proposed","Market",87,NA,NA,NA,NA,NA,"270 South 300 West, `Salt Lake City`, UT 84101",-111.9009672,40.7634477
"149","Pittsburgh House Lofts","G,G & D Woodruff","950 South 200 West",84101,"Utah","Completed","Market",14,NA,NA,NA,NA,NA,"950 South 200 West, `Salt Lake City`, UT 84101",-111.8971984,40.7485125
"150","Preston Place","UNPHC","2673 South Preston Street",84106,"Utah","Completed","Market",65,NA,NA,NA,NA,NA,"2673 South Preston Street, `Salt Lake City`, UT 84106",-111.8347609,40.7138836
"151","Project Reality soberliving/halfway house","Project Reality","150 East 700 South",84111,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"150 East 700 South, `Salt Lake City`, UT 84111",-111.8866597,40.7537575
"152","Providence Place Apartments","Wasatch Property Management","309 East 100 South",84111,"Utah","Completed","Affordable",125,125,NA,NA,NA,NA,"309 East 100 South, `Salt Lake City`, UT 84111",-111.8819261,40.7675716
"153","Quail Run","Core communities and Investment","659 South 1200 East",84102,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"659 South 1200 East, `Salt Lake City`, UT 84102",-111.8563,40.7548662
"154","Rendon Terrace","SLC Housing Authority","158 North 600 West",84116,"Utah","Completed","Affordable",70,70,NA,NA,NA,NA,"158 North 600 West, `Salt Lake City`, UT 84116",-111.9075493,40.7731204
"155","Ridge Senior Living","Foothill Senior Living","2363 South Foothill Drive",84109,"Utah","Completed","Market",138,0,NA,NA,NA,NA,"2363 South Foothill Drive, `Salt Lake City`, UT 84109",-111.8101375,40.7202599
"156","Rio Grande Hotel","HomeInn","428 West 300 South",84101,"Utah","Completed","Market",49,NA,NA,NA,NA,NA,"428 West 300 South, `Salt Lake City`, UT 84101",-111.9035896,40.7630358
"157","Ritz","LaPorte","435 East South Temple",84102,"Utah","Completed","Market",30,NA,NA,NA,NA,NA,"435 East South Temple, `Salt Lake City`, UT 84102",-111.8785325,40.769352
"158","Riverside Apartments Sr. Housing","Housing Authority of Salt Lake City--HAME","610 South 900 West",84104,"Utah","Completed","Market",41,NA,NA,NA,NA,NA,"610 South 900 West, `Salt Lake City`, UT 84104",-111.9173049,40.7559124
"159","Riverside Cove","UNPHC","558 North Redwood Road",84116,"Utah","Completed","Mixed",28,14,NA,521250,NA,NA,"558 North Redwood Road, `Salt Lake City`, UT 84116",-111.9390869,40.7814004
"160","Riverview Townhomes","UNPHC/ Millwood Management","1665 South Riverside Drive",84104,"Utah","Completed","Market",62,NA,NA,NA,NA,NA,"1665 South Riverside Drive, `Salt Lake City`, UT 84104",-111.9210047,40.7344894
"161","Riverwood Cove Apartments","UNPHC","582 North Riverside Drive",84116,"Utah","Completed","Mixed",110,11,NA,NA,NA,NA,"582 North Riverside Drive, `Salt Lake City`, UT 84116",-111.9381268,40.7828521
"162","Romney Plaza","Housing Authority of Salt Lake City","475 East 900 South",84111,"Utah","Completed","Affordable",70,70,NA,NA,NA,NA,"475 East 900 South, `Salt Lake City`, UT 84111",-111.8774587,40.7501009
"163","Royal Oaks","Concept Management","320 East 5th Avenue",84103,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"320 East 5th Avenue, `Salt Lake City`, UT 84103",-111.879868,40.7748761
"164","Saint Mark's Tower","Danville Dev","650 South 300 East",84111,"Utah","Completed","Market",98,NA,NA,NA,NA,NA,"650 South 300 East, `Salt Lake City`, UT 84111",-111.8831522,40.7555023
"165","Salt Lake Costume building","Salt Lake Costume Properties, Inc.","1701S 1100 E",84105,"Utah","Proposed","Market",19,NA,NA,NA,NA,NA,"1701S 1100 E, `Salt Lake City`, UT 84105",-111.8594059,40.7332633
"166","Seasons at Pebble Creek (Heartland Apartments)","Thompson Michie/Mission Rock Residential","1616 West Snow Queen Place",84104,"Utah","Completed","Market",300,NA,NA,NA,NA,NA,"1616 West Snow Queen Place, `Salt Lake City`, UT 84104",-111.93719,40.73342
"167","Seasons on the Boulevard","Paul Willey","460 East 400 South",84111,"Utah","Completed","Market",92,0,NA,NA,NA,NA,"460 East 400 South, `Salt Lake City`, UT 84111",-111.877868,40.7601112
"168","Sedona Apartments","UNPHC","562 West 200 North",84116,"Utah","Completed","Mixed",16,8,NA,NA,NA,NA,"562 West 200 North, `Salt Lake City`, UT 84116",-111.90752,40.7739339
"169","Seven 65 Loft","Thompson Michie/ Mission Rock Residential","765 East 400 South",84102,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"765 East 400 South, `Salt Lake City`, UT 84102",-111.8690057,40.7611064
"170","Shadow Glen CROWN","UNPHC","439 North Silent Glen Lane",84116,"Utah","Completed","Mixed",10,5,NA,NA,NA,NA,"439 North Silent Glen Lane, `Salt Lake City`, UT 84116",-111.9483652,40.7789539
"171","Sky Harbor Apartments","Cottonwood residential","1876 West North Temple",84116,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"1876 West North Temple, `Salt Lake City`, UT 84116",-111.9442192,40.7748514
"172","Smith Apartments","Raasay Properties/ Ut. Non Profit","228 South 300 East",84111,"Utah","Completed","Affordable",22,22,NA,NA,NA,NA,"228 South 300 East, `Salt Lake City`, UT 84111",-111.8829696,40.7642359
"173","Smith Apartments (South)","Raasay Properties/ Ut. Non Profit","682 East 700 South",84102,"Utah","Completed","Affordable",16,16,NA,NA,NA,NA,"682 East 700 South, `Salt Lake City`, UT 84102",-111.8717821,40.7538414
"174","SoDo Lofts","G G & D Woodruff","938 South Washington Street",84101,"Utah","Completed","Market",18,NA,NA,NA,NA,NA,"938 South Washington Street, `Salt Lake City`, UT 84101",-111.8986341,40.7487213
"175","Sophie Apartments (Second West Apartments)","Green street Partners/Multi-Ethnic Development Corp","925 South 200 West",84101,"Utah","Completed","Affordable",25,25,NA,NA,NA,NA,"925 South 200 West, `Salt Lake City`, UT 84101",-111.896415,40.749001
"176","Stratford Apartments","Jameson Properties/Ut. Non Profit","175 East 200 South",84111,"Utah","Completed","Market",46,NA,NA,NA,NA,NA,"175 East 200 South, `Salt Lake City`, UT 84111",-111.885731,40.76525
"177","Sugar House Townhomes","JF Capital Properties","1315 East Crandall",84106,"Utah","Proposed","Market",41,0,NA,NA,NA,NA,"1315 East Crandall, `Salt Lake City`, UT 84106",-111.8532426,40.7086644
"178","Sugarmont Apartments","Boulder Ventures","2189 South McClelland Street",84106,"Utah","Completed","Market",352,0,NA,NA,NA,NA,"2189 South McClelland Street, `Salt Lake City`, UT 84106",-111.8613434,40.7240402
