"","Project Name","Developer","Address","Zip Code","State","Proposed / Completed","Type:  Affordable, Mixed or Market","Total Units","Affordable Units","RDA $","HTF $","Completed Before 2008","Completed After 2008","location","lon","lat"
"208","West station Apartments Phase 1","West Station North Apartments LP","175 North 1775 West",84116,"Utah","Completed","Market",145,0,NA,750000,NA,NA,"175 North 1775 West, `Salt Lake City`, UT 84116",-111.940835,40.7734817
"209","West Station Apartments Phase 2","West Station North Apartments LP","207 North Redwood Rd",84116,"Utah","Proposed","Market",148,0,NA,NA,NA,NA,"207 North Redwood Rd, `Salt Lake City`, UT 84116",-111.940457,40.774531
"210","Westgate Apartments","Rocky Mtn Community Reinvestment Corp/Ut. Non Profit","264 South Foss Street",84104,"Utah","Completed","Affordable",60,60,NA,NA,NA,NA,"264 South Foss Street, `Salt Lake City`, UT 84104",-111.9350991,40.7633537
"211","Westgate II Apartments","Rocky Mtn Community Reinvestment Corp","1520 West 300 South",84104,"Utah","Completed","Mixed",36,32,NA,NA,NA,NA,"1520 West 300 South, `Salt Lake City`, UT 84104",-111.934493,40.763404
"212","Westgate II Apartments","Rocky Mtn Community Reinvestment Corp/Ut. Non Profit","273 South Foss Street",84104,"Utah","Completed","Affordable",36,36,NA,NA,NA,NA,"273 South Foss Street, `Salt Lake City`, UT 84104",-111.9345105,40.7630937
"213","Wilford Apartments","G G&D Woodruff","932 South 200 West",84101,"Utah","Completed","Market",14,NA,NA,NA,NA,NA,"932 South 200 West, `Salt Lake City`, UT 84101",-111.8972002,40.7488617
"214","Wilmington Gardens","Colmena Capital","1201 East Wilmington Avenue",84106,"Utah","Completed","Market",105,NA,NA,NA,NA,NA,"1201 East Wilmington Avenue, `Salt Lake City`, UT 84106",-111.856227,40.723653
"215","Windsor Park","Core communities and Investment","1818 West 700 North",84104,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"1818 West 700 North, `Salt Lake City`, UT 84104",-111.9428723,40.7852946
"216","Wolfson West Apartments","G G& D Woodruff","936 South 200 West",84101,"Utah","Completed","Market",14,NA,NA,NA,NA,NA,"936 South 200 West, `Salt Lake City`, UT 84101",-111.897225,40.748712
"217","Woodruff Apartments","Woodruff Landmark Limited Partnership","235 South 200 East",84111,"Utah","Completed","Mixed",48,45,NA,NA,NA,NA,"235 South 200 East, `Salt Lake City`, UT 84111",-111.8848832,40.7640146
"218","YWCA Crisis Shelter","YWCA of Salt Lake City (Critchlow)","325 South 300 East",84111,"Utah","Completed","Affordable",48,48,NA,NA,NA,NA,"325 South 300 East, `Salt Lake City`, UT 84111",-111.8819352,40.7620748
