place,name,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""4944760""","""Lewiston""",0.80,1169.46,366.29,16236.40,58,69,53,24,30,22,34,39,30,11.72,0.29,2.37,2,2,28251,25664,26291,1,1,1,17034,15628,16237,12908,11877,12393,4116,3740,3831,10,12,13,8,10,11,0.3,0.3,0.21,0.02,758,96,927,80,243,4,3842,1007,1049,729,87,13
"""4944870""","""Liberty""",0.04,119.37,41.07,3746.10,60,71,68,32,40,38,28,31,30,10.99,0.14,2.38,2,2,28282,25432,26125,1,0,0,17748,15750,16075,13603,12033,12256,4123,3706,3807,22,11,13,20,10,11,0.6,2.0,0.30,0.01,1855,84,2034,82,272,6,2756,1692,1731,744,88,12
"""4945090""","""Lindon""",6.90,10591.10,2598.06,5352.46,60,71,65,33,42,38,27,29,27,10.94,8.07,2.22,2,2,26891,24207,23688,1,1,1,16634,14466,14317,12702,10928,10856,3920,3527,3452,12,10,10,11,9,9,2.7,1.9,1.39,0.49,10092,86,15920,90,22,71,1392,1725,1854,764,82,18
"""4945530""","""Loa""",0.00,5.24,1.61,607.69,65,76,50,25,31,19,40,44,31,11.66,0.03,2.26,2,2,26154,23632,26074,1,1,1,16142,14376,16468,12316,10914,12650,3811,3445,3799,15,17,18,13,14,16,0.5,0.7,0.32,0.00,643,84,711,79,419,3,4011,853,934,544,79,21
"""4945860""","""Logan""",33.29,45559.56,14794.37,11481.82,46,54,42,20,25,19,26,29,23,8.80,25.34,1.79,2,2,22196,19872,20498,2,2,1,13014,11585,12201,9751,8662,9187,3234,2896,2987,29,28,27,25,24,23,4.5,3.2,3.24,1.29,10326,44,17559,89,15,87,1828,850,936,629,42,58
"""4946410""","""Lyman""",0.01,9.97,3.06,1155.57,65,76,50,25,31,19,40,44,31,11.66,0.03,2.26,2,2,26154,23632,26074,1,1,1,16142,14376,16468,12316,10914,12650,3811,3445,3799,15,17,18,13,14,16,0.5,0.7,0.32,0.00,643,84,711,79,419,3,4011,853,934,544,79,21
"""4946740""","""Lynndyl""",0.01,12.16,3.46,1999.31,54,65,52,21,27,21,33,38,31,12.04,0.02,2.39,2,2,26933,24510,26048,1,2,2,16934,15772,16705,12983,12173,12881,3924,3571,3795,26,28,28,23,24,24,0.4,0.3,0.31,0.00,289,94,364,77,515,3,4356,922,994,746,71,29
"""4947180""","""Maeser""",2.12,4099.67,1277.38,4141.21,45,53,53,21,27,27,24,26,27,11.40,5.15,2.11,2,2,26997,24268,24832,1,0,0,15992,14042,14306,12043,10499,10681,3935,3536,3618,14,6,7,12,5,6,2.1,2.5,0.87,0.31,2222,74,2638,82,69,28,2231,1190,1273,939,74,26
"""4947290""","""Magna""",14.00,23869.87,6795.06,5016.00,48,55,52,23,29,27,25,26,25,10.82,29.21,2.03,2,2,24618,22027,22631,3,3,3,15250,13121,13502,11585,9845,10135,3589,3210,3298,76,66,69,69,59,62,3.5,5.1,3.88,1.35,11062,92,11188,87,15,92,2400,1195,1209,1054,82,18
"""4947620""","""Manila""",0.00,1.15,0.39,663.05,51,61,56,24,30,25,27,31,30,9.22,0.01,2.21,2,2,21983,19255,25301,2,2,3,15264,14172,16418,12024,11336,12685,3203,2806,3687,37,30,46,31,26,39,0.5,1.2,0.52,0.00,237,63,295,75,592,2,5397,1135,1144,1069,88,12
"""4947730""","""Manti""",0.15,265.54,91.05,1377.66,55,65,51,24,30,23,31,35,29,10.78,1.08,2.14,2,2,25851,23287,25385,1,1,1,15412,14099,15408,11629,10690,11693,3767,3393,3699,15,16,16,13,14,14,1.8,0.1,1.29,0.07,910,87,706,80,65,13,2039,1018,1101,706,79,21
"""4947840""","""Mantua""",0.18,145.91,46.92,3141.41,52,60,58,23,29,28,28,31,30,11.75,0.27,2.41,2,2,28290,25487,26168,0,0,0,17908,15805,16152,13768,12086,12331,4124,3714,3813,17,6,8,15,5,7,0.3,1.6,0.66,0.01,1887,95,1998,82,145,6,2782,1247,1278,477,92,8
"""4947950""","""Mapleton""",3.80,7892.76,1862.37,8136.19,65,77,70,36,45,42,28,31,28,12.63,6.28,2.33,2,2,28649,25900,25351,0,0,0,17488,15360,15236,13311,11586,11542,4176,3774,3694,1,0,0,0,0,0,1.3,0.3,0.91,0.23,5298,95,4669,87,30,41,1352,1878,1932,1230,86,14
"""4948170""","""Marion""",0.14,208.43,67.17,3720.43,37,44,59,17,22,30,19,22,30,12.03,0.22,2.42,2,2,27569,24766,26295,1,0,0,17808,16411,15993,13789,12801,12161,4019,3610,3832,0,0,0,70,20,16,0.6,1.0,0.83,0.02,984,92,1254,81,234,7,2836,1330,1396,1075,80,20
"""4948300""","""Marriott-Slaterville""",1.66,3437.54,921.61,4636.05,53,62,59,27,34,32,26,28,28,11.41,2.82,2.22,2,2,27103,24290,24973,0,0,0,16643,14527,14888,12675,10970,11232,3951,3539,3639,17,18,17,16,16,16,2.0,1.6,0.88,0.20,5033,83,8252,88,35,24,1705,1430,1515,675,87,13
"""4948610""","""Marysvale""",0.03,27.10,8.40,11520.16,72,86,50,26,33,18,45,53,32,10.96,0.01,2.39,2,2,26892,24346,26123,2,2,2,16314,15198,17330,12364,11616,13486,3920,3549,3806,30,34,38,26,29,33,0.0,0.7,0.28,0.00,232,90,275,75,619,2,4968,792,817,563,90,10
"""4948720""","""Mayfield""",0.00,1.71,0.59,571.75,62,75,58,28,35,26,35,40,32,10.34,0.01,2.49,2,3,27041,24404,26482,1,1,1,17490,16292,17490,13530,12715,13608,3940,3556,3859,21,20,24,18,17,20,0.0,0.3,0.45,0.00,400,95,417,77,530,2,5340,1160,1190,944,88,12
"""4948830""","""Meadow""",0.00,0.34,0.13,324.36,56,68,53,22,27,21,35,40,33,10.34,0.00,2.55,2,3,27220,24663,26255,2,2,2,17875,16694,17620,13875,13067,13759,3966,3594,3826,34,33,35,29,28,30,0.0,0.6,0.29,0.00,243,95,295,76,990,2,6022,932,963,778,83,17
"""4949160""","""Mendon""",0.05,97.84,29.12,898.08,74,89,67,40,50,37,34,39,30,12.03,0.39,2.38,2,2,28710,25958,26636,0,0,0,17113,15736,16342,12930,11953,12461,4183,3782,3881,0,0,0,0,0,0,0.1,0.7,0.55,0.03,1399,96,1505,82,213,6,2919,1662,1711,1075,92,8
"""4949380""","""Mexican Hat""",0.00,1.61,0.75,5226.33,58,68,45,19,24,15,39,44,30,8.71,0.00,2.28,2,2,26764,24282,24898,3,3,3,16332,14764,16379,12382,11171,12696,3900,3539,3628,50,54,55,43,46,47,0.4,1.5,0.20,0.00,198,62,234,74,2273,1,9044,653,749,425,70,30
"""4949710""","""Midvale""",19.45,30058.29,11487.94,3784.22,43,50,47,22,28,26,21,22,21,7.60,27.34,1.72,2,2,19666,17403,17902,9,9,9,12897,11000,11333,9794,8236,8492,2867,2536,2609,237,227,233,213,205,210,7.5,6.2,7.30,3.04,26272,38,42360,91,9,180,966,1149,1262,916,45,55
"""4949820""","""Midway""",0.20,665.73,213.41,3292.56,54,64,64,29,36,35,26,28,28,11.73,1.78,2.27,2,2,27966,25236,25389,0,0,0,17037,15034,15115,12959,11357,11415,4077,3677,3699,2,0,0,2,0,0,1.4,0.4,0.92,0.06,3206,83,3441,85,77,13,2468,1592,1815,985,74,26
"""4950040""","""Milford""",1.00,1271.73,474.19,1370.26,50,59,46,22,28,21,28,31,25,9.33,13.71,1.95,2,2,23120,20851,22404,1,1,1,13978,12588,13679,10588,9529,10395,3369,3038,3265,21,21,19,17,18,16,1.2,0.4,0.65,0.35,720,91,935,80,4,71,5573,936,1038,667,73,27
"""4950150""","""Millcreek""",41.97,57381.44,22630.01,8294.13,48,56,52,27,33,31,21,23,22,7.69,29.71,1.78,2,2,20325,18061,18572,7,6,7,13308,11299,11675,10178,8508,8806,2963,2632,2706,168,159,164,151,144,147,4.7,7.8,4.46,2.73,28116,55,48544,91,11,171,1268,1384,1507,820,60,40
"""4950370""","""Millville""",0.98,2064.15,538.00,1515.62,64,76,58,32,40,30,32,36,28,12.36,5.83,2.21,2,2,27088,24480,25138,0,0,0,15970,14321,14972,12023,10752,11307,3947,3567,3663,0,2,2,0,2,2,1.3,1.4,1.01,0.35,4269,97,4721,85,27,43,1728,1343,1369,994,94,6
"""4950590""","""Minersville""",0.21,151.33,58.67,1390.12,59,70,54,28,35,26,31,35,28,10.48,1.65,2.13,2,2,25761,23307,24981,2,1,2,15350,14000,15071,11568,10577,11402,3754,3396,3640,28,27,29,24,23,25,0.6,0.2,0.32,0.04,539,94,359,77,33,9,5574,1184,1250,913,80,20
"""4950700""","""Moab""",2.76,3593.56,1318.64,3046.68,62,72,48,30,37,23,32,35,25,9.89,8.72,1.81,2,2,22849,20488,23576,0,0,0,13164,11449,13733,9834,8462,10297,3329,2986,3435,1,0,1,1,0,1,4.4,0.5,2.09,0.43,2315,62,3851,85,16,59,2617,1026,1137,544,62,38
"""4951140""","""Mona""",0.01,26.85,6.20,1584.83,53,63,58,23,29,27,30,34,31,13.07,0.05,2.53,2,2,29527,26873,26294,1,1,1,18783,16809,16728,14461,12880,12883,4304,3916,3831,18,13,14,15,11,12,0.2,0.3,0.60,0.00,519,91,666,79,403,3,3807,1193,1308,645,83,17
"""4951360""","""Monroe""",0.18,280.28,94.53,2294.91,57,66,49,24,30,21,33,36,28,10.86,0.71,2.11,2,2,25739,23048,25364,1,1,2,15234,13395,15322,11456,10012,11598,3750,3360,3696,27,24,28,23,20,24,1.0,0.8,0.56,0.04,779,77,551,78,112,10,2755,923,954,757,87,13
"""4951470""","""Montezuma Creek""",0.03,47.01,11.22,7676.32,63,73,48,24,29,18,39,44,30,11.29,0.02,2.26,2,2,27245,24565,25042,3,3,3,16306,14523,16017,12289,10896,12316,3970,3581,3649,47,47,53,40,40,45,0.7,1.6,0.15,0.00,203,64,233,74,291,6,3666,815,831,585,92,8
"""4951580""","""Monticello""",0.38,422.83,117.00,2309.75,64,74,49,28,35,22,35,39,27,10.61,0.92,1.99,2,2,26525,24007,24780,1,1,1,14692,12940,14494,10805,9415,10857,3865,3499,3611,22,26,26,18,22,22,1.9,2.5,0.62,0.05,702,72,1083,79,85,10,3772,975,1089,640,74,26
"""4951910""","""Morgan""",0.34,616.52,185.96,1896.90,53,62,60,26,33,31,27,30,29,11.97,1.73,2.29,2,2,28163,25356,26038,0,0,0,17180,15125,15469,13074,11430,11675,4105,3695,3794,1,0,0,1,0,0,0.8,1.4,1.04,0.10,2104,94,2346,83,78,16,2593,1396,1468,782,90,10
"""4952130""","""Moroni""",0.08,144.70,42.47,680.72,54,64,50,23,29,22,31,35,29,11.47,0.72,2.16,2,2,26156,23482,25597,1,1,1,15581,14249,15529,11751,10811,11780,3811,3422,3730,18,16,20,16,14,17,1.2,0.6,1.08,0.06,923,88,774,79,72,14,1593,967,1006,672,88,12
"""4952460""","""Mountain Green""",0.20,342.03,93.71,3471.47,62,74,70,36,45,42,26,29,28,12.28,0.57,2.21,2,2,27596,24934,25578,0,0,0,16639,14760,15069,12613,11126,11341,4023,3633,3727,2,1,1,2,1,1,1.0,2.6,0.63,0.03,2294,80,2733,83,249,7,3837,1901,2281,1052,69,31
"""4953010""","""Mount Pleasant""",1.04,1489.08,398.60,1874.62,48,57,45,20,26,19,28,31,26,9.69,9.60,1.93,2,2,23378,20996,23114,1,1,1,13925,12620,14024,10505,9546,10647,3406,3059,3368,14,15,9,12,13,8,1.3,0.1,0.84,0.21,1578,81,1483,83,16,31,2838,859,1073,460,65,35
"""4953230""","""Murray""",33.96,48830.47,18887.80,7888.81,45,52,49,24,30,27,21,23,22,7.93,23.63,1.77,2,2,20438,18069,18613,8,8,8,13267,11288,11657,10087,8464,8749,2979,2633,2712,201,191,195,181,172,176,6.1,8.2,7.31,2.39,27729,52,52915,91,11,192,969,1226,1281,951,62,38
"""4953340""","""Myton""",0.01,5.91,2.21,645.03,44,52,49,19,24,21,26,28,27,9.89,0.03,2.09,2,2,25075,22423,24395,3,3,3,15628,13924,14774,11919,10610,11171,3655,3267,3555,53,47,48,45,40,41,2.6,1.5,0.61,0.00,272,51,362,76,404,4,4103,960,999,887,65,35
"""4953560""","""Naples""",0.95,2630.27,765.82,4218.72,45,52,52,21,27,26,23,26,26,11.56,3.14,2.03,2,2,26769,24014,24582,1,0,0,15529,13636,13894,11611,10131,10305,3902,3499,3582,16,6,7,13,5,6,1.8,5.6,0.57,0.18,2519,67,3788,82,91,19,2748,1187,1266,1005,71,29
"""4953890""","""Navajo Mountain""",0.05,48.14,8.88,21333.89,68,79,52,25,31,19,43,48,32,12.38,0.01,2.49,2,2,27967,25310,25809,2,2,3,17670,15889,17402,13555,12159,13593,4075,3689,3761,40,41,48,34,35,41,0.0,1.4,0.04,0.00,203,75,235,74,3288,1,14424,868,892,488,94,6
"""4954110""","""Neola""",0.02,31.53,10.78,2411.54,51,60,57,24,29,27,28,31,30,10.99,0.05,2.30,2,2,26351,23582,25621,2,2,2,17036,15179,16060,13154,11710,12289,3841,3436,3733,41,33,37,35,28,32,0.4,1.0,0.08,0.00,324,73,383,76,565,3,5641,1199,1257,895,84,16
"""4954220""","""Nephi""",2.92,3973.54,1321.50,2923.18,46,53,49,19,24,22,26,29,26,10.47,9.27,2.17,2,2,27247,24612,24076,1,0,0,16394,14298,14180,12408,10706,10667,3972,3586,3508,14,6,5,12,5,4,2.0,1.7,1.24,0.45,1642,88,2057,82,12,58,1962,999,1044,573,84,16
"""4954330""","""Newcastle""",0.01,11.32,3.69,2544.53,61,72,50,26,32,21,35,39,29,10.33,0.01,2.13,2,2,25728,23314,24723,2,2,2,15385,13768,15384,11609,10340,11751,3749,3398,3602,28,30,30,24,26,26,2.9,0.1,0.15,0.00,322,58,396,78,407,3,4014,949,1097,773,54,46
"""4954440""","""New Harmony""",0.01,3.59,1.64,386.49,67,81,63,34,43,32,33,38,31,9.95,0.04,2.34,2,2,26664,24173,26251,1,1,1,16648,15478,16666,12755,11947,12832,3885,3522,3825,8,9,9,20,21,21,0.3,0.2,0.13,0.00,455,95,428,78,524,3,4662,1439,1630,857,75,25
"""4954550""","""Newton""",0.02,26.98,7.78,546.67,66,80,61,32,39,29,35,40,31,12.07,0.17,2.45,2,2,28746,25994,26657,0,0,1,17526,16128,16737,13328,12333,12843,4189,3788,3884,9,7,10,8,6,8,0.1,0.3,0.43,0.01,630,99,757,80,148,5,2869,1324,1324,,97,3
"""4954660""","""Nibley""",1.03,3099.05,748.88,2671.61,64,75,58,32,40,30,32,36,28,12.52,4.22,2.22,2,2,27334,24763,25413,0,0,0,16084,14459,15105,12101,10849,11401,3983,3608,3703,0,1,1,0,1,1,1.4,1.1,1.05,0.28,3855,96,4417,85,44,31,1808,1326,1371,1310,90,10
"""4954990""","""North Logan""",4.33,8730.06,2706.57,4549.45,54,64,49,27,33,25,28,31,24,10.31,10.69,1.92,2,2,24468,21983,22631,1,1,1,14004,12520,13145,10427,9304,9835,3565,3203,3298,12,13,12,10,11,10,2.6,3.6,1.96,0.59,6916,59,12319,88,28,52,1623,1116,1056,790,60,40
"""4955100""","""North Ogden""",8.71,16358.01,5179.21,4684.55,50,58,55,25,31,29,25,27,26,10.50,17.16,2.12,2,2,24944,22358,22983,3,2,3,15846,13645,14029,12090,10281,10572,3636,3258,3349,119,106,108,108,96,98,2.6,1.8,2.00,1.11,8341,86,5840,86,14,93,1282,1317,1360,905,84,16
"""4955210""","""North Salt Lake""",4.94,14096.78,4390.87,5399.36,51,60,57,28,35,33,23,25,24,10.33,13.23,1.97,2,2,23976,21474,22077,2,1,2,14797,12654,13033,11270,9496,9788,3495,3129,3217,32,28,29,29,26,26,4.3,5.9,3.69,0.81,10993,63,18810,88,20,63,1391,1490,1589,652,75,25
"""4955430""","""Oak City""",0.00,3.42,0.97,562.84,54,65,52,21,27,21,33,38,31,12.04,0.02,2.39,2,2,26933,24510,26048,1,2,2,16934,15772,16705,12983,12173,12881,3924,3571,3795,26,28,28,23,24,24,0.4,0.3,0.31,0.00,289,94,364,77,515,3,4356,922,994,746,71,29
"""4955650""","""Oakley""",0.16,250.05,80.03,4404.10,37,44,59,17,22,29,19,22,30,12.02,0.22,2.40,2,2,27504,24734,26236,1,0,0,17730,16343,15918,13721,12738,12095,4009,3606,3823,0,0,0,70,21,16,0.7,1.0,0.78,0.02,1011,92,1258,81,231,7,2851,1320,1394,1078,78,22
"""4955760""","""Oasis""",0.00,0.86,0.32,244.50,56,67,53,24,30,23,32,37,30,10.71,0.01,2.29,2,2,26279,23613,25263,2,2,2,16321,15134,16064,12451,11656,12343,3829,3441,3681,41,37,40,35,31,34,1.2,0.4,0.10,0.00,262,66,319,76,439,3,5077,1042,1042,,77,23
"""4955980""","""Ogden""",58.95,82125.51,29540.06,17408.38,40,46,44,18,23,22,22,23,23,8.42,24.62,1.85,2,2,21930,19605,20162,4,4,4,13946,11935,12292,10584,8926,9200,3197,2857,2938,165,153,154,149,138,139,5.8,5.7,3.66,1.70,14399,63,20291,89,10,117,1010,967,976,696,55,45
"""4956440""","""Oljato-Monument Valley""",0.06,137.66,21.92,18560.17,56,65,43,16,20,13,40,45,30,12.90,0.02,2.29,2,2,27391,24784,25315,2,3,3,16516,14793,16316,12480,11133,12575,3991,3613,3689,45,47,52,39,40,44,0.2,1.4,0.20,0.00,201,68,233,74,988,2,5413,567,588,438,86,14
"""4956750""","""Ophir""",0.00,0.20,0.07,77.85,54,63,59,24,30,28,30,33,31,11.06,0.01,2.52,2,2,28220,25516,26181,1,1,1,18481,16540,16841,14362,12818,13022,4114,3718,3815,5,4,4,5,3,4,0.4,0.9,0.12,0.00,579,84,799,79,442,4,4581,1248,1393,633,81,19
"""4956860""","""Orangeville""",0.02,29.50,9.10,916.97,54,63,50,23,29,22,30,34,28,11.17,1.60,2.09,2,2,25873,23198,25415,1,1,1,15182,13355,15189,11397,9962,11471,3770,3381,3703,15,12,15,12,10,13,0.4,1.7,0.99,0.01,719,79,1201,80,175,4,4458,968,1041,600,83,17
"""4957080""","""Orderville""",0.05,51.14,15.63,5575.32,56,67,53,24,30,22,33,38,31,11.62,0.04,2.31,2,2,25446,22973,26142,2,2,2,16334,15175,16706,12597,11799,12867,3708,3347,3809,29,28,29,24,24,25,0.2,0.3,0.37,0.00,318,91,353,77,607,2,5306,994,1045,800,79,21
"""4957300""","""Orem""",55.47,89221.46,25432.26,11590.86,48,56,51,24,30,28,24,26,24,9.68,28.69,2.00,2,2,23672,21131,20674,3,3,3,14928,12862,12737,11419,9733,9679,3451,3079,3012,58,50,46,52,45,42,5.1,2.7,4.22,2.19,16070,59,27146,92,11,190,1038,1245,1375,875,61,39
"""4957630""","""Palmyra""",0.57,1599.72,300.22,7271.71,49,58,53,21,26,24,28,31,28,10.43,1.98,2.31,2,2,28869,26059,25495,0,0,0,17368,15399,15318,13160,11601,11603,4208,3797,3715,0,0,0,0,0,0,2.4,0.2,2.02,0.04,3544,71,5613,87,99,9,2481,1091,1160,827,75,25
"""4957740""","""Panguitch""",1.00,1132.64,409.80,1412.86,58,67,47,27,34,21,31,33,26,9.41,10.03,1.80,2,2,22896,20569,23463,1,1,1,13153,11401,13767,9790,8376,10323,3336,2998,3419,26,26,25,23,22,21,1.1,2.9,0.43,0.29,1044,91,939,79,8,41,3536,959,1006,784,79,21
"""4957850""","""Paradise""",0.26,279.25,87.95,888.21,64,76,58,32,39,29,32,37,29,11.73,1.34,2.24,2,2,27761,25103,25753,0,0,0,16249,14804,15421,12196,11140,11660,4045,3658,3753,7,6,8,6,5,7,1.0,1.4,0.33,0.10,1448,100,1204,80,40,28,1789,1323,1375,713,92,8
"""4957960""","""Paragonah""",0.00,1.24,0.47,429.57,64,74,52,24,31,20,39,44,32,10.69,0.01,2.42,2,2,27228,24733,26143,2,2,2,17190,15377,17089,13194,11742,13247,3968,3605,3809,28,30,32,24,26,27,0.1,0.4,0.46,0.00,283,93,319,76,597,3,5136,893,945,678,81,19
"""4958070""","""Park City""",6.56,6971.55,2797.62,11360.62,39,47,63,24,30,41,15,17,23,8.12,9.43,1.87,2,2,22602,19847,21294,6,5,6,13990,12557,12305,10693,9662,9200,3295,2893,3103,2,2,2,361,275,360,5.3,5.8,2.22,0.25,3614,42,9377,86,33,39,1652,1823,1620,1693,58,42
"""4958510""","""Parowan""",0.74,1128.09,415.03,4417.90,61,71,49,27,33,22,34,37,27,10.08,2.62,2.04,2,2,25773,23347,24774,1,1,1,14893,13064,14742,11121,9643,11113,3755,3403,3610,17,19,19,14,16,16,2.1,0.3,0.82,0.09,969,87,641,79,35,18,3097,977,1021,846,74,26
"""4958730""","""Payson""",11.13,15898.40,4474.07,7766.48,49,57,52,22,28,26,27,29,26,10.90,18.22,2.21,2,2,26275,23652,23154,1,1,1,16454,14283,14145,12600,10818,10755,3830,3446,3374,24,18,16,22,16,14,3.2,0.2,1.68,0.58,5375,78,5137,87,11,71,1313,1153,1243,764,76,24
"""4959280""","""Peoa""",0.07,122.03,38.99,1824.71,39,46,62,19,24,33,19,22,30,12.16,0.26,2.41,2,2,27673,24870,26389,1,0,0,17821,16414,16001,13787,12789,12156,4034,3625,3845,0,0,0,59,9,6,0.6,1.1,0.81,0.02,1102,94,1472,81,216,7,3028,1469,1556,1065,81,19
"""4959390""","""Perry""",2.98,4453.97,1369.97,5103.92,53,62,59,27,33,32,26,28,28,11.52,6.03,2.23,2,2,26939,24220,24879,1,1,1,16724,14500,14883,12751,10934,11220,3927,3529,3625,46,37,38,41,33,35,1.6,0.6,1.43,0.27,2886,87,2887,84,29,40,2466,1420,1486,1015,90,10
"""4959555""","""Peter""",0.63,957.40,280.82,13762.12,70,84,64,36,45,34,34,40,31,12.05,0.29,2.41,2,2,28727,25975,26646,0,0,0,17304,15916,16524,13114,12128,12637,4186,3785,3883,4,3,4,4,3,4,0.1,0.5,0.47,0.02,1045,97,1160,81,183,5,2886,1506,1533,580,95,5
"""4960270""","""Pine Valley""",0.01,14.87,5.26,2189.41,64,77,60,30,38,28,34,39,32,11.49,0.03,2.43,2,2,26965,24367,26487,1,1,1,17138,15929,17112,13200,12370,13243,3929,3551,3859,9,8,9,21,21,23,0.0,0.4,0.47,0.00,382,97,435,77,599,3,4200,1270,1335,895,85,15
"""4960710""","""Plain City""",2.86,4568.15,1394.30,7558.11,54,64,61,28,35,33,26,29,28,11.82,4.25,2.25,2,2,27799,24856,25572,0,0,0,16886,14771,15131,12833,11149,11405,4052,3622,3726,1,0,0,1,0,0,0.7,1.8,0.67,0.18,3403,90,4142,85,36,22,2838,1476,1476,10,97,3
"""4960930""","""Pleasant Grove""",19.81,32811.64,9116.23,5840.74,50,58,53,26,32,29,25,27,25,10.35,21.44,2.06,2,2,25092,22456,21964,2,1,1,15449,13389,13272,11758,10090,10048,3658,3272,3200,33,27,24,29,24,21,4.5,1.2,2.66,1.56,11422,61,15824,90,14,133,995,1319,1398,787,64,36
"""4961150""","""Pleasant View""",4.57,7666.53,2234.42,4457.63,57,67,64,31,39,37,26,28,27,11.37,7.04,2.19,2,2,26307,23571,24234,3,2,2,16421,14197,14583,12475,10664,10951,3835,3435,3531,111,98,100,100,88,90,1.9,2.3,1.43,0.50,5756,84,5224,85,28,59,1462,1653,1686,448,92,8
"""4961260""","""Plymouth""",0.00,3.86,1.22,391.32,54,64,61,25,31,29,30,33,32,11.63,0.04,2.56,2,2,28713,25899,26583,1,1,1,18846,16820,17141,14615,13015,13233,4186,3774,3873,45,31,34,41,28,31,0.0,0.4,0.43,0.00,463,90,598,78,550,2,4757,1317,1367,694,93,7
"""4961590""","""Portage""",0.01,16.12,5.12,1636.63,54,64,61,25,31,29,30,33,32,11.63,0.04,2.56,2,2,28713,25899,26583,1,1,1,18846,16820,17141,14615,13015,13233,4186,3774,3873,45,31,34,41,28,31,0.0,0.4,0.43,0.00,463,90,598,78,550,2,4757,1317,1367,694,93,7
"""4962030""","""Price""",4.79,5888.05,2034.24,3222.42,48,55,42,21,26,18,27,29,24,9.52,10.66,1.71,2,2,22567,20279,22960,0,0,0,12605,10940,12956,9309,7976,9602,3288,2956,3345,8,8,8,7,7,7,4.3,5.9,2.36,0.63,2989,70,4214,83,16,72,1411,820,1007,609,58,42
"""4962360""","""Providence""",3.61,6053.20,1950.25,2402.80,61,72,55,31,39,29,30,34,26,10.78,9.80,2.09,2,2,25961,23339,24015,0,0,0,15142,13567,14208,11356,10162,10705,3783,3401,3499,3,4,4,3,3,3,2.9,1.4,1.95,0.81,6454,76,8127,87,21,80,1311,1297,1357,742,81,19
"""4962470""","""Provo""",73.56,108862.27,30666.32,26654.44,43,49,45,20,25,23,22,24,22,8.76,41.14,1.85,2,2,21882,19458,19051,5,5,4,13849,11948,11878,10567,9030,9025,3190,2835,2776,93,82,76,84,74,69,3.9,2.9,3.09,1.15,16691,41,25082,91,11,85,1696,1045,1013,813,40,60
"""4962910""","""Randlett""",0.00,1.49,0.52,3360.22,53,63,63,24,30,29,29,33,33,10.68,0.00,2.71,3,3,28306,25420,25983,3,2,2,19639,17650,17864,15461,13904,14035,4126,3704,3786,52,41,43,45,35,37,0.0,1.2,0.02,0.00,224,78,273,75,1674,2,7366,1319,1319,0,98,2
"""4963020""","""Randolph""",0.00,1.78,0.42,667.20,56,67,52,22,27,21,34,40,32,12.57,0.01,2.43,2,2,27635,25012,26083,1,1,1,17286,16125,17008,13237,12458,13182,4027,3645,3801,22,23,26,19,20,22,0.3,1.0,0.39,0.00,400,85,520,77,437,3,4844,925,988,608,84,16
"""4963240""","""Redmond""",0.00,1.82,0.61,615.93,64,75,55,28,34,24,37,41,32,11.40,0.01,2.41,2,2,26414,23714,26003,2,2,2,16993,15142,17083,13108,11652,13256,3849,3457,3789,36,34,38,31,29,33,0.1,0.8,0.81,0.00,243,84,295,75,548,3,4548,1061,1061,0,93,7
"""4963570""","""Richfield""",3.92,5145.28,1804.12,3592.31,52,61,45,23,29,20,29,32,25,9.59,13.67,1.84,2,2,23417,21023,23267,0,0,0,13413,11677,13598,10001,8612,10208,3412,3064,3390,0,0,0,0,0,0,2.8,0.7,1.77,0.50,2672,73,3867,85,11,49,1517,900,851,555,60,40
"""4963680""","""Richmond""",0.23,375.38,118.12,2221.75,60,71,54,27,33,25,33,37,29,11.65,0.64,2.30,2,2,27842,25313,25927,1,1,1,16560,15088,15706,12490,11382,11911,4057,3688,3778,13,17,18,11,15,15,0.9,0.3,0.89,0.05,867,92,1010,81,146,7,2346,1120,1217,645,84,16
"""4964010""","""Riverdale""",4.52,7806.23,2774.86,2995.80,43,50,48,20,26,24,23,24,24,9.34,13.03,1.92,2,2,23250,20755,21356,2,2,2,14476,12371,12745,10989,9260,9545,3389,3024,3112,98,87,88,88,78,80,6.0,5.8,9.22,0.93,12705,60,21240,89,12,89,1158,1085,1181,726,69,31
