place,name,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""4930900""","""Granite""",1.04,1885.25,621.73,961.15,70,84,78,45,56,52,25,27,26,10.74,13.91,2.10,2,2,25370,22647,23303,1,1,1,15719,13542,13941,12002,10227,10530,3698,3300,3396,19,15,16,17,14,14,2.3,5.2,1.59,0.65,13018,91,14437,88,17,65,1740,2342,2379,441,90,10
"""4931120""","""Grantsville""",3.89,5745.78,1773.99,23965.43,48,56,53,22,28,26,26,29,27,11.20,2.53,2.17,2,2,26994,24330,24975,1,1,1,16304,14260,14611,12363,10711,10967,3935,3545,3639,6,5,5,5,4,4,1.3,1.9,1.57,0.07,1895,77,1807,81,80,13,2536,1150,1288,638,77,23
"""4931670""","""Green River""",0.01,6.37,2.05,8468.95,55,64,51,22,27,20,33,37,31,10.71,0.00,2.33,2,2,25452,22953,25009,3,3,3,16414,14750,16502,12656,11357,12811,3709,3346,3644,49,47,47,42,40,40,0.4,1.0,0.89,0.00,223,71,271,75,1654,1,6632,896,1071,504,69,31
"""4932660""","""Gunnison""",0.92,521.24,166.85,3063.42,55,65,51,25,31,23,30,34,28,10.98,1.24,2.08,2,2,25744,23218,25308,1,1,1,15107,13795,15119,11341,10396,11416,3751,3383,3688,15,16,16,13,14,13,1.3,0.6,0.56,0.05,740,91,1009,80,51,15,2813,1041,1102,774,78,22
"""4933002""","""Halchita""",0.03,81.28,12.94,10958.32,56,65,43,16,20,13,40,45,30,12.90,0.02,2.29,2,2,27391,24784,25315,2,3,3,16516,14793,16316,12480,11133,12575,3991,3613,3689,45,47,52,39,40,44,0.2,1.4,0.20,0.00,201,68,233,74,988,2,5413,567,588,438,86,14
"""4933027""","""Halls Crossing""",0.00,2.64,1.24,8587.06,58,68,45,19,24,15,39,44,30,8.71,0.00,2.28,2,2,26764,24282,24898,3,3,3,16332,14764,16379,12382,11171,12696,3900,3539,3628,50,54,55,43,46,47,0.4,1.5,0.20,0.00,198,62,234,74,2273,1,9044,653,749,425,70,30
"""4933100""","""Hanksville""",0.00,1.03,0.42,1078.79,74,87,56,32,40,24,42,47,32,10.34,0.00,2.43,2,2,26083,23571,25958,2,2,2,17073,15300,17393,13230,11822,13566,3801,3436,3782,42,42,45,36,36,38,0.0,1.3,0.26,0.00,203,87,242,74,1665,1,7137,1078,1169,544,86,14
"""4933540""","""Harrisville""",2.90,6002.93,1918.28,1940.36,46,53,51,22,27,26,24,26,25,10.32,14.07,2.07,2,2,24568,21943,22577,3,2,2,15516,13315,13702,11822,10020,10312,3581,3197,3290,113,98,100,102,88,90,3.9,2.1,2.19,0.99,9873,64,9469,88,17,77,1177,1158,1197,745,80,20
"""4933760""","""Hatch""",0.00,3.04,0.92,1184.96,64,75,52,25,32,20,39,43,32,10.50,0.01,2.34,2,2,25676,23106,26185,1,1,1,16523,14751,17068,12760,11361,13228,3741,3368,3815,22,22,25,18,19,21,0.1,2.1,0.19,0.00,685,91,644,78,520,3,4597,895,926,706,86,14
"""4934200""","""Heber""",2.89,8170.07,2206.31,5427.51,50,59,58,26,33,32,24,26,26,11.65,7.81,2.12,2,2,26811,24192,24340,0,0,0,16019,14034,14117,12110,10509,10570,3908,3525,3547,0,0,0,0,0,0,3.4,1.0,2.17,0.41,3823,83,4574,86,19,49,2451,1441,1614,1095,68,32
