"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",163000
"Salt Lake City 84103",302000
"Salt Lake City 84104",90000
"Salt Lake City 84105",174950
"Salt Lake City 84106",160687
"Salt Lake City 84108",288500
"Salt Lake City 84109",201950
"Salt Lake City 84116",113000
