"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",220000
"Salt Lake City 84103",363284
"Salt Lake City 84104",120000
"Salt Lake City 84105",272000
"Salt Lake City 84106",229000
"Salt Lake City 84108",339000
"Salt Lake City 84109",277000
"Salt Lake City 84116",158000
