"name","value"
"Salt Lake City 84101",119700
"Salt Lake City 84102",245000
"Salt Lake City 84103",315000
"Salt Lake City 84104",1e+05
"Salt Lake City 84105",229450
"Salt Lake City 84106",205000
"Salt Lake City 84108",3e+05
"Salt Lake City 84109",247000
"Salt Lake City 84116",128750
