"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",276950
"Salt Lake City 84103",382500
"Salt Lake City 84104",146500
"Salt Lake City 84105",3e+05
"Salt Lake City 84106",260000
"Salt Lake City 84108",390250
"Salt Lake City 84109",347500
"Salt Lake City 84116",178450
