"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",238700
"Salt Lake City 84103",410000
"Salt Lake City 84104",77375
"Salt Lake City 84105",249900
"Salt Lake City 84106",206000
"Salt Lake City 84108",370000
"Salt Lake City 84109",251600
"Salt Lake City 84116",119895
