100100,5,49035100100
100200,5.5,49035100200
100306,3.5,49035100306
100307,3.5,49035100307
100308,3.1,49035100308
100500,3.7,49035100500
100600,3.3,49035100600
100700,4.6,49035100700
100800,5.3,49035100800
101000,5.7,49035101000
101101,6.4,49035101101
101102,6.2,49035101102
101200,6.8,49035101200
101400,4.6,49035101400
101500,4.8,49035101500
101600,5.3,49035101600
101700,4.8,49035101700
101800,6.2,49035101800
101900,4.8,49035101900
102000,3.7,49035102000
102100,3.7,49035102100
102300,2.8,49035102300
102500,3.7,49035102500
102600,2.4,49035102600
102701,3.1,49035102701
102702,2.6,49035102702
102801,2.4,49035102801
102802,1.9,49035102802
102900,1.9,49035102900
103000,4.6,49035103000
103100,3.3,49035103100
103200,4.8,49035103200
103300,5.1,49035103300
103400,5.7,49035103400
103500,6.6,49035103500
103600,8.2,49035103600
103700,8.2,49035103700
103800,6.2,49035103800
103900,7.5,49035103900
104000,7.9,49035104000
104100,7.1,49035104100
104200,7.5,49035104200
104300,6.2,49035104300
104400,7.5,49035104400
104700,6.6,49035104700
104800,6.4,49035104800
104900,6.6,49035104900
110103,8.2,49035110103
110200,7.9,49035110200
110300,7.5,49035110300
111400,2.6,49035111400
111802,3.3,49035111802
113906,2.4,49035113906
