"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",323500
"Salt Lake City 84103",427950
"Salt Lake City 84104",157000
"Salt Lake City 84105",363000
"Salt Lake City 84106",278000
"Salt Lake City 84108",423000
"Salt Lake City 84109",335987
"Salt Lake City 84116",191200
