"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",267950
"Salt Lake City 84103",344350
"Salt Lake City 84104",120000
"Salt Lake City 84105",245000
"Salt Lake City 84106",226000
"Salt Lake City 84108",364500
"Salt Lake City 84109",290000
"Salt Lake City 84116",149500
