"name","value"
"Salt Lake City 84101",166000
"Salt Lake City 84102",302000
"Salt Lake City 84103",391500
"Salt Lake City 84104",130100
"Salt Lake City 84105",288950
"Salt Lake City 84106",259500
"Salt Lake City 84108",382250
"Salt Lake City 84109",335000
"Salt Lake City 84116",148000
