"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",345000
"Salt Lake City 84103",499500
"Salt Lake City 84104",168000
"Salt Lake City 84105",384400
"Salt Lake City 84106",311250
"Salt Lake City 84108",478500
"Salt Lake City 84109",405000
"Salt Lake City 84116",215000
