"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",255000
"Salt Lake City 84103",442500
"Salt Lake City 84104",125500
"Salt Lake City 84105",275500
"Salt Lake City 84106",249950
"Salt Lake City 84108",388500
"Salt Lake City 84109",316400
"Salt Lake City 84116",147050
