"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",376000
"Salt Lake City 84103",608000
"Salt Lake City 84104",199900
"Salt Lake City 84105",419500
"Salt Lake City 84106",348000
"Salt Lake City 84108",550000
"Salt Lake City 84109",428850
"Salt Lake City 84116",236900
