"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",219450
"Salt Lake City 84103",380450
"Salt Lake City 84104",115888
"Salt Lake City 84105",263500
"Salt Lake City 84106",248900
"Salt Lake City 84108",341650
"Salt Lake City 84109",284900
"Salt Lake City 84116",134750
