"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",284000
"Salt Lake City 84103",396750
"Salt Lake City 84104",135500
"Salt Lake City 84105",310000
"Salt Lake City 84106",268000
"Salt Lake City 84108",412500
"Salt Lake City 84109",336000
"Salt Lake City 84116",168400
