"name","value"
"Salt Lake City 84101",0
"Salt Lake City 84102",253000
"Salt Lake City 84103",379700
"Salt Lake City 84104",140000
"Salt Lake City 84105",287500
"Salt Lake City 84106",245000
"Salt Lake City 84108",368000
"Salt Lake City 84109",315000
"Salt Lake City 84116",179500
